label_name,label_readable,event_type_parsed,event_type_readable,horizon_days_parsed,vol_top_pct_int_parsed,dd_thr_int_parsed,model_name,model_readable,fit_status,n_train,n_test,pos_rate,auc,ap,precision,recall,f1,logloss,brier,error,split_mode,split_cutoff_date,total_pos,train_pos,test_pos,y_train_unique,y_test_unique
y_dd_h5_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 5 days",dd,Drawdown Event,5,,3.0,logit_baseline,Logistic Regression (Baseline features),ok,2002,513,0.074074074074074,0.6770083102493074,0.1974271988902108,0.25,0.3421052631578947,0.2888888888888888,0.3986612673886083,0.0971262225608161,,event_balanced,2018-12-14,76,38,38,"0,1","0,1"
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",dd,Drawdown Event,10,,3.0,rf_full,Random Forest (Baseline + Ricci curvature),ok,2293,217,0.1751152073732718,0.9023816524551602,0.6827672488882064,0.0,0.0,0.0,0.468623991638928,0.1446149208659222,,event_balanced,2020-02-12,76,38,38,"0,1","0,1"
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",dd,Drawdown Event,20,,3.0,logit_full,Logistic Regression (Baseline + Ricci curvature),ok,1990,510,0.0764705882352941,0.5621427404866896,0.0814130254125178,0.0504201680672268,0.1538461538461538,0.0759493670886076,0.8058011982283498,0.212706897381196,,event_balanced,2018-11-27,78,39,39,"0,1","0,1"
y_dd_h5_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 5 days",dd,Drawdown Event,5,,5.0,logit_baseline,Logistic Regression (Baseline features),ok,1953,562,0.1120996441281138,0.7655310621242485,0.3562129635173554,0.3692307692307692,0.3809523809523809,0.375,0.4089733942714231,0.1097359023949705,,event_balanced,2018-10-04,126,63,63,"0,1","0,1"
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",dd,Drawdown Event,10,,5.0,logit_baseline,Logistic Regression (Baseline features),ok,1780,730,0.0863013698630137,0.746912258156636,0.1857381058410905,0.2083333333333333,0.238095238095238,0.2222222222222222,0.6388874645215504,0.1237957745548338,,event_balanced,2018-01-29,126,63,63,"0,1","0,1"
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",dd,Drawdown Event,20,,5.0,rf_full,Random Forest (Baseline + Ricci curvature),ok,1988,512,0.126953125,0.4621235587678541,0.2890104383557549,1.0,0.1846153846153846,0.3116883116883117,0.4676268499458373,0.1184855056671849,,event_balanced,2018-11-23,130,65,65,"0,1","0,1"
y_dd_h5_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 5 days",dd,Drawdown Event,5,,7.0,logit_baseline,Logistic Regression (Baseline features),ok,1782,733,0.1200545702592087,0.7290873854827344,0.307403856367363,0.3636363636363636,0.2727272727272727,0.3116883116883117,0.5146239208887288,0.1191718138749835,,event_balanced,2018-01-31,176,88,88,"0,1","0,1"
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",dd,Drawdown Event,10,,7.0,logit_baseline,Logistic Regression (Baseline features),ok,1778,732,0.1202185792349726,0.6581557029926595,0.3261521542756974,0.3191489361702128,0.3409090909090909,0.3296703296703296,0.5092335171404545,0.1306407256235522,,event_balanced,2018-01-25,176,88,88,"0,1","0,1"
y_dd_h20_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",dd,Drawdown Event,20,,7.0,logit_baseline,Logistic Regression (Baseline features),ok,1776,724,0.1215469613259668,0.7165523156089194,0.1965595011811778,0.1463414634146341,0.0681818181818181,0.0930232558139534,0.9897853605936155,0.1541761873224003,,event_balanced,2018-01-23,176,88,88,"0,1","0,1"
y_vol_top3_h5,"High volatility event (top 3% of rolling volatility), prediction horizon = 5 days",vol,High Volatility Event,5,3.0,,logit_baseline,Logistic Regression (Baseline features),ok,2308,211,0.1800947867298578,0.9335260115606936,0.7613736383703795,0.6,0.7894736842105263,0.6818181818181818,0.3399478212207864,0.104850103456268,,event_balanced,2020-03-05,76,38,38,"0,1","0,1"
y_vol_top3_h10,"High volatility event (top 3% of rolling volatility), prediction horizon = 10 days",vol,High Volatility Event,10,3.0,,logit_baseline,Logistic Regression (Baseline features),ok,2309,210,0.1809523809523809,0.9335985312117504,0.8154932737771695,0.8,0.5263157894736842,0.6349206349206349,0.6582952167762373,0.0795026101025804,,event_balanced,2020-03-06,76,38,38,"0,1","0,1"
y_vol_top3_h20,"High volatility event (top 3% of rolling volatility), prediction horizon = 20 days",vol,High Volatility Event,20,3.0,,logit_full,Logistic Regression (Baseline + Ricci curvature),ok,2302,217,0.1751152073732718,0.966774478094678,0.9112570427038692,1.0,0.3684210526315789,0.5384615384615384,1.2428088773334751,0.1110458901631496,,event_balanced,2020-02-26,76,38,38,"0,1","0,1"
