label_name,auc_logit_full,auc_logit_baseline,delta_auc,event_type,horizon_days,vol_top_pct_int,dd_thr_int,label_readable,model_a_readable,model_b_readable
y_dd_h5_thr3,0.3033795013850415,0.6770083102493074,-0.3736288088642659,dd,5,,3.0,"Drawdown event (drawdown threshold = 3%), prediction horizon = 5 days",Logistic Regression (Baseline + Ricci curvature),Logistic Regression (Baseline features)
y_dd_h10_thr3,0.9020876212878566,0.7339017935901205,0.16818582769773605,dd,10,,3.0,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",Logistic Regression (Baseline + Ricci curvature),Logistic Regression (Baseline features)
y_dd_h20_thr3,0.5621427404866896,0.4294735696009581,0.13266917088573144,dd,20,,3.0,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",Logistic Regression (Baseline + Ricci curvature),Logistic Regression (Baseline features)
y_dd_h5_thr5,0.2954798485860609,0.7655310621242485,-0.4700512135381876,dd,5,,5.0,"Drawdown event (drawdown threshold = 5%), prediction horizon = 5 days",Logistic Regression (Baseline + Ricci curvature),Logistic Regression (Baseline features)
y_dd_h10_thr5,0.5838509316770186,0.746912258156636,-0.16306132647961735,dd,10,,5.0,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",Logistic Regression (Baseline + Ricci curvature),Logistic Regression (Baseline features)
y_dd_h20_thr5,0.4408535536052315,0.3921528136293237,0.04870073997590779,dd,20,,5.0,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",Logistic Regression (Baseline + Ricci curvature),Logistic Regression (Baseline features)
y_dd_h5_thr7,0.3642882311486962,0.7290873854827344,-0.36479915433403826,dd,5,,7.0,"Drawdown event (drawdown threshold = 7%), prediction horizon = 5 days",Logistic Regression (Baseline + Ricci curvature),Logistic Regression (Baseline features)
y_dd_h10_thr7,0.4378176171654432,0.6581557029926595,-0.22033808582721626,dd,10,,7.0,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",Logistic Regression (Baseline + Ricci curvature),Logistic Regression (Baseline features)
y_dd_h20_thr7,0.4763614922813036,0.7165523156089194,-0.24019082332761582,dd,20,,7.0,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",Logistic Regression (Baseline + Ricci curvature),Logistic Regression (Baseline features)
y_vol_top3_h5,0.7911469425007606,0.9335260115606936,-0.14237906905993303,vol,5,3.0,,"High volatility event (top 3% of rolling volatility), prediction horizon = 5 days",Logistic Regression (Baseline + Ricci curvature),Logistic Regression (Baseline features)
y_vol_top3_h10,0.8053855569155446,0.9335985312117504,-0.12821297429620582,vol,10,3.0,,"High volatility event (top 3% of rolling volatility), prediction horizon = 10 days",Logistic Regression (Baseline + Ricci curvature),Logistic Regression (Baseline features)
y_vol_top3_h20,0.966774478094678,0.9456042340488092,0.021170244045868758,vol,20,3.0,,"High volatility event (top 3% of rolling volatility), prediction horizon = 20 days",Logistic Regression (Baseline + Ricci curvature),Logistic Regression (Baseline features)
