n_samples,pos_rate,logloss,brier,accuracy,precision,recall,f1,auc,ap,error,fit_status,model_name,label_name,event_type,horizon_days,threshold,vol_top_pct_int,n_train,n_test,y_train_unique,y_test_unique,split_mode,split_cutoff_date,total_pos,train_pos,test_pos,label_readable,model_readable
513,0.074074074074074,0.3986612673886083,0.0971262225608161,0.8752436647173489,0.25,0.3421052631578947,0.2888888888888888,0.6770083102493074,0.1974271988902108,,ok,logit_baseline,y_dd_h5_thr3,dd,5,3.0,,2002,513,"0,1","0,1",event_balanced,2018-12-14,76,38,38,"Drawdown event (drawdown threshold = 3%), prediction horizon = 5 days",Logistic Regression (Baseline features)
513,0.074074074074074,2.424398385956229,0.4570051390290531,0.4853801169590643,0.0043859649122807,0.0263157894736842,0.0075187969924812,0.3033795013850415,0.0513419856149508,,ok,logit_full,y_dd_h5_thr3,dd,5,3.0,,2002,513,"0,1","0,1",event_balanced,2018-12-14,76,38,38,"Drawdown event (drawdown threshold = 3%), prediction horizon = 5 days",Logistic Regression (Baseline + Ricci curvature)
513,0.074074074074074,0.4038864498916824,0.0814692188589865,0.9298245614035088,1.0,0.0526315789473684,0.1,0.4676731301939058,0.1161772527959456,,ok,rf_full,y_dd_h5_thr3,dd,5,3.0,,2002,513,"0,1","0,1",event_balanced,2018-12-14,76,38,38,"Drawdown event (drawdown threshold = 3%), prediction horizon = 5 days",Random Forest (Baseline + Ricci curvature)
562,0.1120996441281138,0.4089733942714231,0.1097359023949705,0.8576512455516014,0.3692307692307692,0.3809523809523809,0.375,0.7655310621242485,0.3562129635173554,,ok,logit_baseline,y_dd_h5_thr5,dd,5,5.0,,1953,562,"0,1","0,1",event_balanced,2018-10-04,126,63,63,"Drawdown event (drawdown threshold = 5%), prediction horizon = 5 days",Logistic Regression (Baseline features)
562,0.1120996441281138,1.6728469978329528,0.1363943756953184,0.8594306049822064,0.1363636363636363,0.0476190476190476,0.0705882352941176,0.2954798485860609,0.0835506185009514,,ok,logit_full,y_dd_h5_thr5,dd,5,5.0,,1953,562,"0,1","0,1",event_balanced,2018-10-04,126,63,63,"Drawdown event (drawdown threshold = 5%), prediction horizon = 5 days",Logistic Regression (Baseline + Ricci curvature)
562,0.1120996441281138,0.3469436805979901,0.0989322854337646,0.8879003558718861,0.0,0.0,0.0,0.5980850590069027,0.1545411892052149,,ok,rf_full,y_dd_h5_thr5,dd,5,5.0,,1953,562,"0,1","0,1",event_balanced,2018-10-04,126,63,63,"Drawdown event (drawdown threshold = 5%), prediction horizon = 5 days",Random Forest (Baseline + Ricci curvature)
733,0.1200545702592087,0.5146239208887288,0.1191718138749835,0.8553888130968622,0.3636363636363636,0.2727272727272727,0.3116883116883117,0.7290873854827344,0.307403856367363,,ok,logit_baseline,y_dd_h5_thr7,dd,5,7.0,,1782,733,"0,1","0,1",event_balanced,2018-01-31,176,88,88,"Drawdown event (drawdown threshold = 7%), prediction horizon = 5 days",Logistic Regression (Baseline features)
733,0.1200545702592087,1.5410778465966306,0.1485794589220355,0.8321964529331515,0.0930232558139534,0.0454545454545454,0.0610687022900763,0.3642882311486962,0.0984450590283359,,ok,logit_full,y_dd_h5_thr7,dd,5,7.0,,1782,733,"0,1","0,1",event_balanced,2018-01-31,176,88,88,"Drawdown event (drawdown threshold = 7%), prediction horizon = 5 days",Logistic Regression (Baseline + Ricci curvature)
733,0.1200545702592087,0.3585031016272565,0.1037869123619984,0.8813096862210096,0.6666666666666666,0.0227272727272727,0.0439560439560439,0.6078047921071177,0.1725917471457161,,ok,rf_full,y_dd_h5_thr7,dd,5,7.0,,1782,733,"0,1","0,1",event_balanced,2018-01-31,176,88,88,"Drawdown event (drawdown threshold = 7%), prediction horizon = 5 days",Random Forest (Baseline + Ricci curvature)
217,0.1751152073732718,1.423467793395416,0.2625235849276799,0.7050691244239631,0.0357142857142857,0.0263157894736842,0.0303030303030303,0.7339017935901205,0.2798629013979035,,ok,logit_baseline,y_dd_h10_thr3,dd,10,3.0,,2293,217,"0,1","0,1",event_balanced,2020-02-12,76,38,38,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",Logistic Regression (Baseline features)
