label_name,label_readable,model_name,model_readable,probe,probe_readable,corr_probe_vs_p_hat
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_diff_tmix_proxy,Correlation graph: Diff Tmix Proxy,0.7984979174303546
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_mfpt_median,Correlation graph: Mean First Passage Time Median,0.738731085500564
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_mfpt_q90,Correlation graph: Mean First Passage Time Q90,0.515975981313652
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_diff_pi_min,Correlation graph: Diff Pi Min,0.37450883407905283
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_ct_q90,Correlation graph: Ct Q90,0.3556384588675293
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_ct_median,Correlation graph: Ct Median,0.35198365215305333
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_ct_mean,Correlation graph: Ct Mean,0.34794695769654505
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_mfpt_mean,Correlation graph: Mean First Passage Time Mean,0.34794695769654493
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_ct_median,Precision graph: Ct Median,0.31876314765148
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_mfpt_q90,Precision graph: Mean First Passage Time Q90,0.30821450041777304
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_ct_q10,Correlation graph: Ct Q10,0.287466759102214
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_diff_tmix_proxy,Precision graph: Diff Tmix Proxy,0.2489683656615975
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_diff_lambda2,Precision graph: Diff Lambda2,0.20924510513787245
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_ct_q90,Precision graph: Ct Q90,0.18896479217818177
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_diff_lambda2,Correlation graph: Diff Lambda2,0.1507373305602817
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_mfpt_median,Precision graph: Mean First Passage Time Median,0.13269608058982157
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_ct_mean,Precision graph: Ct Mean,0.1185575145509458
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_mfpt_mean,Precision graph: Mean First Passage Time Mean,0.11855751455094579
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_diff_gamma,Correlation graph: Diff Gamma,-0.15073733056028185
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_diff_pi_min,Precision graph: Diff Pi Min,-0.18905717227342062
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_diff_gamma,Precision graph: Diff Gamma,-0.20924510513787223
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_ct_q10,Precision graph: Ct Q10,-0.28533481146008655
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_mfpt_q10,Precision graph: Mean First Passage Time Q10,-0.31364319474557667
y_dd_h10_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 10 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_mfpt_q10,Correlation graph: Mean First Passage Time Q10,-0.33958249262824447
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_diff_gamma,Correlation graph: Diff Gamma,0.5645358842541588
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_ct_q10,Correlation graph: Ct Q10,0.3757494492965539
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_mfpt_q10,Correlation graph: Mean First Passage Time Q10,0.3634211794542994
