date,window_id,window_start,window_end,n_days,n_assets,corr_num_edges,corr_avg_degree,corr_density,corr_total_weight,corr_avg_weight
2011-01-03,0,2010-01-05,2011-01-03,252,150,1545,20.6,0.138255033557047,1944.1020839547746,0.6291592504708008
2011-01-04,1,2010-01-06,2011-01-04,252,150,1546,20.613333333333333,0.13834451901565994,1947.7074799438979,0.6299183311590872
2011-01-05,2,2010-01-07,2011-01-05,252,150,1546,20.613333333333333,0.13834451901565994,1950.1587527799866,0.6307111102134497
2011-01-06,3,2010-01-08,2011-01-06,252,150,1550,20.666666666666668,0.13870246085011187,1956.7139303084057,0.6311980420349695
2011-01-07,4,2010-01-11,2011-01-07,252,150,1550,20.666666666666668,0.13870246085011187,1958.4280682690942,0.631750989764224
2011-01-10,5,2010-01-12,2011-01-10,252,150,1550,20.666666666666668,0.13870246085011187,1961.7434536945057,0.6328204689337115
2011-01-11,6,2010-01-13,2011-01-11,252,150,1550,20.666666666666668,0.13870246085011187,1960.7515203249072,0.6325004904273894
2011-01-12,7,2010-01-14,2011-01-12,252,150,1550,20.666666666666668,0.13870246085011187,1958.5107457151225,0.6317776599081041
2011-01-13,8,2010-01-15,2011-01-13,252,150,1550,20.666666666666668,0.13870246085011187,1960.5630827995674,0.6324397041288927
2011-01-14,9,2010-01-19,2011-01-14,252,150,1550,20.666666666666668,0.13870246085011187,1958.673265109195,0.6318300855190951
2011-01-18,10,2010-01-20,2011-01-18,252,150,1550,20.666666666666668,0.13870246085011187,1958.0666217717962,0.6316343941199343
2011-01-19,11,2010-01-21,2011-01-19,252,150,1550,20.666666666666668,0.13870246085011187,1960.7958856986252,0.6325148018382661
2011-01-20,12,2010-01-22,2011-01-20,252,150,1550,20.666666666666668,0.13870246085011187,1954.350052398096,0.6304355007735793
2011-01-21,13,2010-01-25,2011-01-21,252,150,1549,20.653333333333332,0.1386129753914989,1947.307775475425,0.6285693271386136
2011-01-24,14,2010-01-26,2011-01-24,252,150,1549,20.653333333333332,0.1386129753914989,1948.5895593481182,0.6289830727398703
2011-01-25,15,2010-01-27,2011-01-25,252,150,1549,20.653333333333332,0.1386129753914989,1948.3466506689597,0.6289046645154809
2011-01-26,16,2010-01-28,2011-01-26,252,150,1549,20.653333333333332,0.1386129753914989,1951.346257752568,0.6298729043746184
2011-01-27,17,2010-01-29,2011-01-27,252,150,1549,20.653333333333332,0.1386129753914989,1947.8693606344814,0.6287506005921503
2011-01-28,18,2010-02-01,2011-01-28,252,150,1549,20.653333333333332,0.1386129753914989,1952.786106840934,0.630337671672348
2011-01-31,19,2010-02-02,2011-01-31,252,150,1548,20.64,0.1385234899328859,1950.9006664743783,0.6301358741842308
2011-02-01,20,2010-02-03,2011-02-01,252,150,1548,20.64,0.1385234899328859,1953.2847871076874,0.6309059389882711
2011-02-02,21,2010-02-04,2011-02-02,252,150,1548,20.64,0.1385234899328859,1954.8581013335047,0.6314141154177987
2011-02-03,22,2010-02-05,2011-02-03,252,150,1548,20.64,0.1385234899328859,1936.6829501113873,0.6255435885372698
2011-02-04,23,2010-02-08,2011-02-04,252,150,1548,20.64,0.1385234899328859,1937.8940893605263,0.6259347833851829
2011-02-07,24,2010-02-09,2011-02-07,252,150,1549,20.653333333333332,0.1386129753914989,1938.8486390964376,0.6258388118452026
2011-02-08,25,2010-02-10,2011-02-08,252,150,1552,20.69333333333333,0.1388814317673378,1942.5555674461034,0.6258233142545436
2011-02-09,26,2010-02-11,2011-02-09,252,150,1552,20.69333333333333,0.1388814317673378,1940.7257751892955,0.6252338193264483
2011-02-10,27,2010-02-12,2011-02-10,252,150,1550,20.666666666666668,0.13870246085011187,1934.6687246326824,0.6240866853653814
2011-02-11,28,2010-02-16,2011-02-11,252,150,1551,20.68,0.13879194630872482,1937.3958232308255,0.6245634504290217
2011-02-14,29,2010-02-17,2011-02-14,252,150,1551,20.68,0.13879194630872482,1930.7845071187783,0.6224321428493805
2011-02-15,30,2010-02-18,2011-02-15,252,150,1550,20.666666666666668,0.13870246085011187,1929.6053354709047,0.6224533340228725
2011-02-16,31,2010-02-19,2011-02-16,252,150,1549,20.653333333333332,0.1386129753914989,1929.127699834039,0.6227010005920074
2011-02-17,32,2010-02-22,2011-02-17,252,150,1548,20.64,0.1385234899328859,1924.7911359554635,0.6217025632931084
2011-02-18,33,2010-02-23,2011-02-18,252,150,1548,20.64,0.1385234899328859,1925.0179237365976,0.6217758151603997
