date,window_id,window_start,window_end,n_days,n_assets,corr_f_edge_mean,corr_f_edge_median,corr_f_edge_q10,corr_f_edge_q05,corr_f_edge_ltm10,corr_f_edge_frac_neg,corr_f_vertex_mean,corr_f_vertex_median,corr_f_vertex_q10,prec_f_edge_mean,prec_f_edge_median,prec_f_edge_q10,prec_f_edge_q05,prec_f_edge_ltm10,prec_f_edge_frac_neg,prec_f_vertex_mean,prec_f_vertex_median,prec_f_vertex_q10
2011-01-03,0,2010-01-05,2011-01-03,252,150,-3117.709029793928,-3026.3809812340064,-4967.616568948966,-5710.442100438419,-5813.434104183211,0.9967637540453075,-2155.22207242623,-2380.7792892416564,-3465.1792747107897,-45.185046245288724,-39.491337665679076,-77.68555688636417,-92.911722191536,-98.03020945561104,1.0,-41.668816770912414,-39.95990275722711,-60.74142997742594
2011-01-04,1,2010-01-06,2011-01-04,252,150,-3134.9180970043235,-3092.579369117768,-5039.333562294158,-5733.2851375204455,-5879.156468042883,0.9967658473479948,-2162.213503888558,-2404.297383447002,-3487.6596034520753,-83.96240251748267,-68.99789292642532,-169.04078429515707,-200.00351949312324,-211.79238983673616,0.9993333333333333,-62.11565707219496,-64.69965027939631,-102.45916377444661
2011-01-05,2,2010-01-07,2011-01-05,252,150,-3148.393191077555,-3096.627990634276,-5063.6427511674265,-5793.569519889612,-5891.435967593315,0.9967658473479948,-2169.1760530702086,-2422.2178445222735,-3586.4531795600988,-185.89400079145875,-176.24404000745363,-287.53230188531893,-328.47288529705514,-343.2990295574306,1.0,-171.39852101647864,-164.29396718329195,-237.62581656915407
2011-01-06,3,2010-01-08,2011-01-06,252,150,-3159.6206761371,-3110.507120154596,-5070.897841912122,-5836.545604255301,-5915.14426727132,0.9967741935483871,-2182.1375859695063,-2432.6530410992036,-3602.7732917374124,-85.08127710278487,-69.69889594359708,-169.25952280369427,-208.05655165881663,-217.04096629008782,0.9993333333333333,-62.80560902322339,-64.73315306112835,-103.03109024017861
2011-01-07,4,2010-01-11,2011-01-07,252,150,-3171.0075622892105,-3123.1568423136882,-5044.016254950473,-5821.9151202159055,-5967.274968383506,0.9967741935483871,-2186.753502099633,-2437.526100618816,-3560.2483381505604,-85.43003773430473,-70.41718642859932,-171.35587727878573,-205.09658029518988,-216.1684113713341,0.9993333333333333,-63.51180348908579,-65.86144914405281,-102.25214212014806
2011-01-10,5,2010-01-12,2011-01-10,252,150,-3158.2691808282634,-3101.028774608695,-4997.271431871668,-5743.825262695342,-5866.791574057297,0.9967741935483871,-2180.4544503602665,-2411.3534917987254,-3575.2478081137647,-84.27533746327248,-68.99445481647052,-167.8425357731473,-204.27926686443067,-213.28830683421364,0.9993333333333333,-61.82840799749705,-64.9155993229958,-103.00159625579107
2011-01-11,6,2010-01-13,2011-01-11,252,150,-3154.059164837231,-3092.1562978551747,-5012.629028418495,-5656.222406382129,-5873.429962098778,0.9967741935483871,-2171.9216299687164,-2372.3195492315367,-3433.2633022706977,-84.98399424594403,-70.14420591788016,-168.38276579007248,-205.67560118900764,-214.97803201428164,0.9993333333333333,-62.36027619436405,-65.03333942051354,-101.42672691181325
2011-01-12,7,2010-01-14,2011-01-12,252,150,-3152.811053103107,-3082.791446459921,-5014.885643915863,-5702.637325043287,-5889.887893390441,0.9967741935483871,-2179.5823468129634,-2448.76214795764,-3410.1584263008326,-182.1808714299158,-172.81189613050284,-279.51976540384317,-314.04768653573274,-324.84856261515455,1.0,-169.19767554464624,-163.0558905280086,-233.87932690685628
2011-01-13,8,2010-01-15,2011-01-13,252,150,-3146.259264670832,-3095.6516588324866,-4994.402400531261,-5667.418287631398,-5872.9860817429,0.9967741935483871,-2150.4201451906306,-2412.0371186613042,-3437.7225872221666,-178.58667854908455,-169.8425656446767,-269.0392595786627,-308.49448029751017,-320.7342532366736,1.0,-166.6962399828786,-162.76428850668168,-232.3378681763428
2011-01-14,9,2010-01-19,2011-01-14,252,150,-3148.331140176243,-3070.499187218341,-5014.379867249571,-5696.505213792331,-5875.173471491238,0.9974193548387097,-2162.581195549592,-2416.1029275350934,-3434.628682717946,-83.84350416464144,-69.04586831049363,-167.27067156006544,-198.90608026030702,-209.64012025439354,0.9993333333333333,-61.265419734225155,-63.032241194782074,-99.70253759891918
2011-01-18,10,2010-01-20,2011-01-18,252,150,-3147.4487030571377,-3054.478548912168,-5014.003066364132,-5706.125118068768,-5839.4330557004605,0.9967741935483871,-2178.316246295656,-2412.9995338915105,-3449.9939599319277,-85.25238740236573,-69.67477864338403,-171.28742516053975,-202.3827609205807,-214.75952107029005,0.9993333333333333,-62.28894125546877,-63.43815770445058,-100.25672587867496
2011-01-19,11,2010-01-21,2011-01-19,252,150,-3137.7604051782255,-3050.045475903657,-4982.251180751271,-5672.578330838076,-5807.006501486902,0.9967741935483871,-2151.9297223892204,-2361.94536718593,-3458.321700520188,-179.63820936581368,-168.57459026034613,-275.0485827151261,-317.3948459539311,-330.55236656924205,1.0,-167.11098175730046,-160.07470794536096,-228.7413799589175
2011-01-20,12,2010-01-22,2011-01-20,252,150,-3115.9629163134446,-3060.5590973727503,-4916.353108963603,-5555.358862864936,-5721.115316351578,0.9967741935483871,-2119.8096111467376,-2393.5648478370117,-3487.7292693422582,-84.30286383399833,-71.23205735585978,-165.1625866481276,-200.45321474657507,-209.6422218210384,0.9986675549633578,-61.50890109705461,-62.747764934967776,-106.5095689614224
2011-01-21,13,2010-01-25,2011-01-21,252,150,-3108.19654924339,-3038.1555967638456,-4917.4729752567355,-5567.947863812761,-5704.881085538425,0.9974176888315042,-2143.671107097432,-2358.6250615064064,-3578.208328794221,-87.50383493744363,-73.63096728871862,-175.83685352351966,-210.2590418924506,-219.86243535518201,0.9993337774816788,-63.59230351911899,-65.1777942887689,-109.41039864470545
