n_samples,pos_rate,logloss,brier,accuracy,precision,recall,f1,auc,ap,error,fit_status,model_name,label_name,event_type,horizon_days,threshold,vol_top_pct_int,n_train,n_test,y_train_unique,y_test_unique,split_mode,split_cutoff_date,total_pos,train_pos,test_pos
513,0.07407407407407407,0.3986612673886083,0.09712622256081617,0.8752436647173489,0.25,0.34210526315789475,0.28888888888888886,0.6770083102493074,0.19742719889021088,,ok,logit_baseline,y_dd_h5_thr3,dd,5,3.0,,2002,513,"0,1","0,1",event_balanced,2018-12-14,76,38,38
513,0.07407407407407407,2.424398385956229,0.4570051390290531,0.4853801169590643,0.0043859649122807015,0.02631578947368421,0.007518796992481203,0.30337950138504155,0.05134198561495086,,ok,logit_full,y_dd_h5_thr3,dd,5,3.0,,2002,513,"0,1","0,1",event_balanced,2018-12-14,76,38,38
513,0.07407407407407407,0.40388644989168243,0.08146921885898656,0.9298245614035088,1.0,0.05263157894736842,0.1,0.46767313019390583,0.1161772527959456,,ok,rf_full,y_dd_h5_thr3,dd,5,3.0,,2002,513,"0,1","0,1",event_balanced,2018-12-14,76,38,38
562,0.11209964412811388,0.40897339427142315,0.10973590239497057,0.8576512455516014,0.36923076923076925,0.38095238095238093,0.375,0.7655310621242485,0.35621296351735543,,ok,logit_baseline,y_dd_h5_thr5,dd,5,5.0,,1953,562,"0,1","0,1",event_balanced,2018-10-04,126,63,63
562,0.11209964412811388,1.6728469978329528,0.1363943756953184,0.8594306049822064,0.13636363636363635,0.047619047619047616,0.07058823529411765,0.29547984858606097,0.08355061850095144,,ok,logit_full,y_dd_h5_thr5,dd,5,5.0,,1953,562,"0,1","0,1",event_balanced,2018-10-04,126,63,63
562,0.11209964412811388,0.34694368059799013,0.09893228543376467,0.8879003558718861,0.0,0.0,0.0,0.5980850590069027,0.15454118920521492,,ok,rf_full,y_dd_h5_thr5,dd,5,5.0,,1953,562,"0,1","0,1",event_balanced,2018-10-04,126,63,63
733,0.12005457025920874,0.5146239208887288,0.11917181387498355,0.8553888130968622,0.36363636363636365,0.2727272727272727,0.3116883116883117,0.7290873854827344,0.30740385636736306,,ok,logit_baseline,y_dd_h5_thr7,dd,5,7.0,,1782,733,"0,1","0,1",event_balanced,2018-01-31,176,88,88
733,0.12005457025920874,1.5410778465966306,0.14857945892203553,0.8321964529331515,0.09302325581395349,0.045454545454545456,0.061068702290076333,0.36428823114869624,0.09844505902833592,,ok,logit_full,y_dd_h5_thr7,dd,5,7.0,,1782,733,"0,1","0,1",event_balanced,2018-01-31,176,88,88
733,0.12005457025920874,0.3585031016272565,0.10378691236199845,0.8813096862210096,0.6666666666666666,0.022727272727272728,0.04395604395604396,0.6078047921071177,0.17259174714571615,,ok,rf_full,y_dd_h5_thr7,dd,5,7.0,,1782,733,"0,1","0,1",event_balanced,2018-01-31,176,88,88
217,0.17511520737327188,1.423467793395416,0.2625235849276799,0.7050691244239631,0.03571428571428571,0.02631578947368421,0.030303030303030304,0.7339017935901205,0.2798629013979035,,ok,logit_baseline,y_dd_h10_thr3,dd,10,3.0,,2293,217,"0,1","0,1",event_balanced,2020-02-12,76,38,38
217,0.17511520737327188,2.2533482352337413,0.13931242993506185,0.8571428571428571,1.0,0.18421052631578946,0.3111111111111111,0.9020876212878566,0.751676468555882,,ok,logit_full,y_dd_h10_thr3,dd,10,3.0,,2293,217,"0,1","0,1",event_balanced,2020-02-12,76,38,38
217,0.17511520737327188,0.46862399163892804,0.1446149208659222,0.8248847926267281,0.0,0.0,0.0,0.9023816524551602,0.6827672488882064,,ok,rf_full,y_dd_h10_thr3,dd,10,3.0,,2293,217,"0,1","0,1",event_balanced,2020-02-12,76,38,38
730,0.0863013698630137,0.6388874645215504,0.12379577455483386,0.8561643835616438,0.20833333333333334,0.23809523809523808,0.2222222222222222,0.746912258156636,0.1857381058410905,,ok,logit_baseline,y_dd_h10_thr5,dd,10,5.0,,1780,730,"0,1","0,1",event_balanced,2018-01-29,126,63,63
730,0.0863013698630137,0.8789332505468703,0.07705181025641655,0.9178082191780822,0.5789473684210527,0.1746031746031746,0.2682926829268293,0.5838509316770186,0.2368793737586249,,ok,logit_full,y_dd_h10_thr5,dd,10,5.0,,1780,730,"0,1","0,1",event_balanced,2018-01-29,126,63,63
730,0.0863013698630137,0.31888436734047526,0.08009064178619614,0.9136986301369863,0.5,0.047619047619047616,0.08695652173913043,0.5133385688108327,0.1362717861018397,,ok,rf_full,y_dd_h10_thr5,dd,10,5.0,,1780,730,"0,1","0,1",event_balanced,2018-01-29,126,63,63
732,0.12021857923497267,0.5092335171404545,0.1306407256235522,0.8333333333333334,0.3191489361702128,0.3409090909090909,0.32967032967032966,0.6581557029926595,0.32615215427569744,,ok,logit_baseline,y_dd_h10_thr7,dd,10,7.0,,1778,732,"0,1","0,1",event_balanced,2018-01-25,176,88,88
732,0.12021857923497267,1.271635422920409,0.11603387668159951,0.8797814207650273,0.5,0.10227272727272728,0.16981132075471697,0.43781761716544326,0.17936057309944903,,ok,logit_full,y_dd_h10_thr7,dd,10,7.0,,1778,732,"0,1","0,1",event_balanced,2018-01-25,176,88,88
732,0.12021857923497267,0.39543380595079564,0.10370549640127634,0.8838797814207651,0.7142857142857143,0.056818181818181816,0.10526315789473684,0.5977555053642011,0.24201070809251904,,ok,rf_full,y_dd_h10_thr7,dd,10,7.0,,1778,732,"0,1","0,1",event_balanced,2018-01-25,176,88,88
510,0.07647058823529412,1.057763703047229,0.23984643358477994,0.7,0.04032258064516129,0.1282051282051282,0.06134969325153374,0.42947356960095817,0.06277376790598321,,ok,logit_baseline,y_dd_h20_thr3,dd,20,3.0,,1990,510,"0,1","0,1",event_balanced,2018-11-27,78,39,39
510,0.07647058823529412,0.8058011982283498,0.21270689738119608,0.7137254901960784,0.05042016806722689,0.15384615384615385,0.0759493670886076,0.5621427404866896,0.08141302541251788,,ok,logit_full,y_dd_h20_thr3,dd,20,3.0,,1990,510,"0,1","0,1",event_balanced,2018-11-27,78,39,39
510,0.07647058823529412,0.8940745218678633,0.09109970408905296,0.9098039215686274,0.3157894736842105,0.15384615384615385,0.20689655172413793,0.32647395067777235,0.2065898741418662,,ok,rf_full,y_dd_h20_thr3,dd,20,3.0,,1990,510,"0,1","0,1",event_balanced,2018-11-27,78,39,39
512,0.126953125,0.8850384492361306,0.1783793057373356,0.794921875,0.1,0.07692307692307693,0.08695652173913043,0.3921528136293237,0.10577719483463685,,ok,logit_baseline,y_dd_h20_thr5,dd,20,5.0,,1988,512,"0,1","0,1",event_balanced,2018-11-23,130,65,65
512,0.126953125,1.9421333973126162,0.16482281348963138,0.8203125,0.15384615384615385,0.09230769230769231,0.11538461538461539,0.4408535536052315,0.12909369095577264,,ok,logit_full,y_dd_h20_thr5,dd,20,5.0,,1988,512,"0,1","0,1",event_balanced,2018-11-23,130,65,65
512,0.126953125,0.46762684994583736,0.11848550566718492,0.896484375,1.0,0.18461538461538463,0.3116883116883117,0.4621235587678541,0.2890104383557549,,ok,rf_full,y_dd_h20_thr5,dd,20,5.0,,1988,512,"0,1","0,1",event_balanced,2018-11-23,130,65,65
724,0.12154696132596685,0.9897853605936155,0.15417618732240032,0.8383977900552486,0.14634146341463414,0.06818181818181818,0.09302325581395349,0.7165523156089194,0.1965595011811778,,ok,logit_baseline,y_dd_h20_thr7,dd,20,7.0,,1776,724,"0,1","0,1",event_balanced,2018-01-23,176,88,88
724,0.12154696132596685,2.0435066366514003,0.12321096386325886,0.8756906077348067,0.375,0.03409090909090909,0.0625,0.47636149228130364,0.14345183128536493,,ok,logit_full,y_dd_h20_thr7,dd,20,7.0,,1776,724,"0,1","0,1",event_balanced,2018-01-23,176,88,88
724,0.12154696132596685,0.4922339887027493,0.11904057320119119,0.8715469613259669,0.2727272727272727,0.03409090909090909,0.06060606060606061,0.472734419668382,0.14322493322444568,,ok,rf_full,y_dd_h20_thr7,dd,20,7.0,,1776,724,"0,1","0,1",event_balanced,2018-01-23,176,88,88
211,0.18009478672985782,0.3399478212207864,0.10485010345626807,0.8672985781990521,0.6,0.7894736842105263,0.6818181818181818,0.9335260115606937,0.7613736383703795,,ok,logit_baseline,y_vol_top3_h5,vol,5,,3.0,2308,211,"0,1","0,1",event_balanced,2020-03-05,76,38,38
211,0.18009478672985782,0.4387295613824643,0.07934154525831949,0.9146919431279621,0.9545454545454546,0.5526315789473685,0.7,0.7911469425007606,0.7274889511524592,,ok,logit_full,y_vol_top3_h5,vol,5,,3.0,2308,211,"0,1","0,1",event_balanced,2020-03-05,76,38,38
211,0.18009478672985782,0.44036335245875136,0.13608175153135318,0.8293838862559242,1.0,0.05263157894736842,0.1,0.6125646486157591,0.4972270849920917,,ok,rf_full,y_vol_top3_h5,vol,5,,3.0,2308,211,"0,1","0,1",event_balanced,2020-03-05,76,38,38
210,0.18095238095238095,0.6582952167762373,0.07950261010258045,0.8904761904761904,0.8,0.5263157894736842,0.6349206349206349,0.9335985312117503,0.8154932737771695,,ok,logit_baseline,y_vol_top3_h10,vol,10,,3.0,2309,210,"0,1","0,1",event_balanced,2020-03-06,76,38,38
210,0.18095238095238095,1.20221648965208,0.11001773034603483,0.8857142857142857,1.0,0.3684210526315789,0.5384615384615384,0.8053855569155446,0.740985649328324,,ok,logit_full,y_vol_top3_h10,vol,10,,3.0,2309,210,"0,1","0,1",event_balanced,2020-03-06,76,38,38
210,0.18095238095238095,0.6948525546025938,0.1591145357633364,0.819047619047619,0.0,0.0,0.0,0.8509026927784578,0.8226152340751506,,ok,rf_full,y_vol_top3_h10,vol,10,,3.0,2309,210,"0,1","0,1",event_balanced,2020-03-06,76,38,38
217,0.17511520737327188,0.8139590088584663,0.12723076589202623,0.8571428571428571,1.0,0.18421052631578946,0.3111111111111111,0.9456042340488092,0.7606986087978858,,ok,logit_baseline,y_vol_top3_h20,vol,20,,3.0,2302,217,"0,1","0,1",event_balanced,2020-02-26,76,38,38
217,0.17511520737327188,1.2428088773334751,0.11104589016314965,0.8894009216589862,1.0,0.3684210526315789,0.5384615384615384,0.966774478094678,0.9112570427038693,,ok,logit_full,y_vol_top3_h20,vol,20,,3.0,2302,217,"0,1","0,1",event_balanced,2020-02-26,76,38,38
217,0.17511520737327188,0.5434181073880165,0.14172641588101273,0.8433179723502304,1.0,0.10526315789473684,0.19047619047619047,0.8994413407821229,0.7398903416720625,,ok,rf_full,y_vol_top3_h20,vol,20,,3.0,2302,217,"0,1","0,1",event_balanced,2020-02-26,76,38,38
